|| colName || colName || colName || colName || colName || colName || colName || colName || colName || colName || colName || colName || colName || colName || 
TraceResultData [operation=Operation 0, main_table=Main Table 0, query_option=With (Option) 0, total_run_time=Total Run Time (Ms) 0, joining_tables=Joining Tables 0, query_parameters=Query Parameters 0, round_trip_time=Round Trip Time(Ms) 0, session_id=Session Id 0, transaction_id=Transaction Id 0, is_new_transaction=New Transaction? 0, event_number_in_transaction=Event# in Tran 0, event_sequence_number=Event Sequence 0, duration=Duration 0, raw_sql=Raw Sql text 0]
TraceResultData [operation=Operation 11, main_table=Main Table 11, query_option=With (Option) 11, total_run_time=Total Run Time (Ms) 11, joining_tables=Joining Tables 11, query_parameters=Query Parameters 11, round_trip_time=Round Trip Time(Ms) 11, session_id=Session Id 11, transaction_id=Transaction Id 1, is_new_transaction=New Transaction? 11, event_number_in_transaction=Event# in Tran 11, event_sequence_number=Event Sequence 11, duration=Duration 11, raw_sql=Raw Sql text 11]
TraceResultData [operation=Operation 12, main_table=Main Table 12, query_option=With (Option) 12, total_run_time=Total Run Time (Ms) 12, joining_tables=Joining Tables 12, query_parameters=Query Parameters 12, round_trip_time=Round Trip Time(Ms) 12, session_id=Session Id 12, transaction_id=Transaction Id 2, is_new_transaction=New Transaction? 12, event_number_in_transaction=Event# in Tran 12, event_sequence_number=Event Sequence 12, duration=Duration 12, raw_sql=Raw Sql text 12]
TraceResultData [operation=Operation 13, main_table=Main Table 13, query_option=With (Option) 13, total_run_time=Total Run Time (Ms) 13, joining_tables=Joining Tables 13, query_parameters=Query Parameters 13, round_trip_time=Round Trip Time(Ms) 13, session_id=Session Id 13, transaction_id=Transaction Id 3, is_new_transaction=New Transaction? 13, event_number_in_transaction=Event# in Tran 13, event_sequence_number=Event Sequence 13, duration=Duration 13, raw_sql=Raw Sql text 13]
TraceResultData [operation=Operation 14, main_table=Main Table 14, query_option=With (Option) 14, total_run_time=Total Run Time (Ms) 14, joining_tables=Joining Tables 14, query_parameters=Query Parameters 14, round_trip_time=Round Trip Time(Ms) 14, session_id=Session Id 14, transaction_id=Transaction Id 4, is_new_transaction=New Transaction? 14, event_number_in_transaction=Event# in Tran 14, event_sequence_number=Event Sequence 14, duration=Duration 14, raw_sql=Raw Sql text 14]
TraceResultData [operation=Operation 15, main_table=Main Table 15, query_option=With (Option) 15, total_run_time=Total Run Time (Ms) 15, joining_tables=Joining Tables 15, query_parameters=Query Parameters 15, round_trip_time=Round Trip Time(Ms) 15, session_id=Session Id 15, transaction_id=Transaction Id 0, is_new_transaction=New Transaction? 15, event_number_in_transaction=Event# in Tran 15, event_sequence_number=Event Sequence 15, duration=Duration 15, raw_sql=Raw Sql text 15]
TraceResultData [operation=Operation 16, main_table=Main Table 16, query_option=With (Option) 16, total_run_time=Total Run Time (Ms) 16, joining_tables=Joining Tables 16, query_parameters=Query Parameters 16, round_trip_time=Round Trip Time(Ms) 16, session_id=Session Id 16, transaction_id=Transaction Id 1, is_new_transaction=New Transaction? 16, event_number_in_transaction=Event# in Tran 16, event_sequence_number=Event Sequence 16, duration=Duration 16, raw_sql=Raw Sql text 16]
TraceResultData [operation=Operation 17, main_table=Main Table 17, query_option=With (Option) 17, total_run_time=Total Run Time (Ms) 17, joining_tables=Joining Tables 17, query_parameters=Query Parameters 17, round_trip_time=Round Trip Time(Ms) 17, session_id=Session Id 17, transaction_id=Transaction Id 2, is_new_transaction=New Transaction? 17, event_number_in_transaction=Event# in Tran 17, event_sequence_number=Event Sequence 17, duration=Duration 17, raw_sql=Raw Sql text 17]
TraceResultData [operation=Operation 18, main_table=Main Table 18, query_option=With (Option) 18, total_run_time=Total Run Time (Ms) 18, joining_tables=Joining Tables 18, query_parameters=Query Parameters 18, round_trip_time=Round Trip Time(Ms) 18, session_id=Session Id 18, transaction_id=Transaction Id 3, is_new_transaction=New Transaction? 18, event_number_in_transaction=Event# in Tran 18, event_sequence_number=Event Sequence 18, duration=Duration 18, raw_sql=Raw Sql text 18]
TraceResultData [operation=Operation 19, main_table=Main Table 19, query_option=With (Option) 19, total_run_time=Total Run Time (Ms) 19, joining_tables=Joining Tables 19, query_parameters=Query Parameters 19, round_trip_time=Round Trip Time(Ms) 19, session_id=Session Id 19, transaction_id=Transaction Id 4, is_new_transaction=New Transaction? 19, event_number_in_transaction=Event# in Tran 19, event_sequence_number=Event Sequence 19, duration=Duration 19, raw_sql=Raw Sql text 19]
TraceResultData [operation=Operation 20, main_table=Main Table 20, query_option=With (Option) 20, total_run_time=Total Run Time (Ms) 20, joining_tables=Joining Tables 20, query_parameters=Query Parameters 20, round_trip_time=Round Trip Time(Ms) 20, session_id=Session Id 20, transaction_id=Transaction Id 0, is_new_transaction=New Transaction? 20, event_number_in_transaction=Event# in Tran 20, event_sequence_number=Event Sequence 20, duration=Duration 20, raw_sql=Raw Sql text 20]
TraceResultData [operation=Operation 21, main_table=Main Table 21, query_option=With (Option) 21, total_run_time=Total Run Time (Ms) 21, joining_tables=Joining Tables 21, query_parameters=Query Parameters 21, round_trip_time=Round Trip Time(Ms) 21, session_id=Session Id 21, transaction_id=Transaction Id 1, is_new_transaction=New Transaction? 21, event_number_in_transaction=Event# in Tran 21, event_sequence_number=Event Sequence 21, duration=Duration 21, raw_sql=Raw Sql text 21]
TraceResultData [operation=Operation 22, main_table=Main Table 22, query_option=With (Option) 22, total_run_time=Total Run Time (Ms) 22, joining_tables=Joining Tables 22, query_parameters=Query Parameters 22, round_trip_time=Round Trip Time(Ms) 22, session_id=Session Id 22, transaction_id=Transaction Id 2, is_new_transaction=New Transaction? 22, event_number_in_transaction=Event# in Tran 22, event_sequence_number=Event Sequence 22, duration=Duration 22, raw_sql=Raw Sql text 22]
TraceResultData [operation=Operation 23, main_table=Main Table 23, query_option=With (Option) 23, total_run_time=Total Run Time (Ms) 23, joining_tables=Joining Tables 23, query_parameters=Query Parameters 23, round_trip_time=Round Trip Time(Ms) 23, session_id=Session Id 23, transaction_id=Transaction Id 3, is_new_transaction=New Transaction? 23, event_number_in_transaction=Event# in Tran 23, event_sequence_number=Event Sequence 23, duration=Duration 23, raw_sql=Raw Sql text 23]
TraceResultData [operation=Operation 24, main_table=Main Table 24, query_option=With (Option) 24, total_run_time=Total Run Time (Ms) 24, joining_tables=Joining Tables 24, query_parameters=Query Parameters 24, round_trip_time=Round Trip Time(Ms) 24, session_id=Session Id 24, transaction_id=Transaction Id 4, is_new_transaction=New Transaction? 24, event_number_in_transaction=Event# in Tran 24, event_sequence_number=Event Sequence 24, duration=Duration 24, raw_sql=Raw Sql text 24]
